delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost,delivery_time_hours_num,expected_time_hours_num,zero_hour_flag,is_delayed_flag,delayed_original_binary,computed_delayed
250.99,amazon logistics,furniture,ev van,express,north,hot,239.3,11.67,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000006,yes,delayed,3,1281.51,8.0,6,0,1,1,1
250.99,fedex,documents,bike,standard,west,stormy,79.0,0.73,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000024,no,delivered,5,397.19,10.0,24,0,0,0,0
250.99,blue dart,fragile items,ev bike,standard,central,rainy,170.7,45.62,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000024,no,delivered,5,990.36,11.0,24,0,0,0,0
250.99,amazon logistics,documents,van,same day,north,rainy,90.0,33.7,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000008,no,delivered,3,651.1,4.0,8,0,0,0,0
250.99,fedex,cosmetics,truck,express,north,rainy,64.0,6.03,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000003,yes,failed,2,388.09,7.0,3,0,0,1,1
250.99,fedex,automobile parts,scooter,two day,east,foggy,185.9,19.1,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000016,no,delivered,4,986.8,6.0,16,0,0,0,0
250.99,dhl,electronics,scooter,two day,west,stormy,217.9,14.08,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000016,no,delivered,4,1131.74,9.0,16,0,0,0,0
250.99,blue dart,automobile parts,scooter,same day,north,cold,214.1,40.85,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000008,no,delivered,5,1293.05,6.0,8,0,0,0,0
250.99,ecom express,clothing,bike,standard,central,clear,251.7,34.9,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000024,no,delivered,4,1363.2,8.0,24,0,0,0,0
250.99,amazon logistics,furniture,van,standard,east,foggy,214.9,5.67,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000024,no,delivered,5,1091.51,7.0,24,0,0,0,0
250.99,shadowfax,documents,ev van,two day,north,stormy,115.4,0.67,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000016,no,delivered,4,578.59,6.0,16,0,0,0,0
250.99,dhl,clothing,ev bike,express,east,foggy,293.8,41.03,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000007,yes,delayed,3,1632.7206,9.0,7,0,1,1,1
250.99,amazon logistics,cosmetics,scooter,standard,east,clear,286.8,46.67,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000024,no,delivered,3,1574.01,8.0,24,0,0,0,0
250.99,fedex,furniture,truck,express,south,hot,136.1,48.1,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000004,no,delivered,5,874.8,3.0,4,0,0,0,0
250.99,dhl,furniture,bike,two day,east,rainy,291.4,6.12,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000016,no,delivered,5,1475.36,13.0,16,0,0,0,0
250.99,fedex,furniture,bike,standard,south,hot,295.0,19.68,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000024,no,delivered,5,1534.04,9.0,24,0,0,0,0
250.99,ekart,cosmetics,truck,same day,central,rainy,223.3,6.29,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000008,yes,failed,1,1235.37,10.0,8,0,0,1,1
250.99,delhivery,automobile parts,scooter,express,south,hot,242.5,46.73,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000006,yes,failed,1,1402.69,10.0,6,0,0,1,1
250.99,fedex,furniture,ev bike,two day,central,rainy,35.1,22.72,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000016,no,delivered,5,243.66,8.0,16,0,0,0,0
250.99,amazon logistics,clothing,bike,express,central,stormy,81.8,45.51,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000003,yes,delayed,2,595.53,5.0,3,0,1,1,1
250.99,delhivery,documents,bike,same day,east,clear,37.6,22.81,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000008,no,delivered,4,356.43,3.0,8,0,0,0,0
250.99,amazon logistics,furniture,ev bike,express,north,rainy,46.8,4.72,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000002,yes,delayed,2,298.16,5.0,2,0,1,1,1
250.99,amazon logistics,electronics,scooter,same day,central,hot,233.4,18.0,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000008,no,delivered,5,1321.0,5.0,8,0,0,0,0
250.99,ekart,documents,bike,standard,east,rainy,62.2,48.58,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000024,no,delivered,3,456.74,7.0,24,0,0,0,0
250.99,shadowfax,clothing,ev bike,standard,south,foggy,114.0,43.85,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000024,no,delivered,4,701.55,6.0,24,0,0,0,0
250.99,blue dart,automobile parts,ev bike,same day,north,foggy,131.5,25.79,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000008,no,delivered,5,834.87,6.0,8,0,0,0,0
250.99,xpressbees,groceries,ev van,express,south,rainy,21.4,16.58,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000002,yes,delayed,3,206.74,3.0,2,0,1,1,1
250.99,xpressbees,fragile items,truck,standard,west,stormy,258.5,8.37,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000024,no,delivered,5,1317.61,7.0,24,0,0,0,0
250.99,dhl,furniture,van,two day,east,rainy,253.9,7.07,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000016,no,delivered,3,1290.71,9.0,16,0,0,0,0
250.99,delhivery,furniture,ev bike,same day,north,stormy,6.7,7.96,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000008,no,delivered,4,157.38,6.0,8,0,0,0,0
250.99,ecom express,automobile parts,ev bike,standard,west,hot,178.1,26.7,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000024,no,delivered,4,970.6,5.0,24,0,0,0,0
250.99,fedex,cosmetics,truck,standard,south,hot,180.0,35.04,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000024,no,delivered,3,1005.12,4.0,24,0,0,0,0
250.99,ecom express,documents,scooter,two day,north,rainy,187.9,14.96,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000016,no,delivered,4,984.38,11.0,16,0,0,0,0
250.99,xpressbees,documents,ev van,express,west,hot,78.3,49.22,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000003,yes,failed,1,589.16,4.0,3,0,0,1,1
250.99,amazon logistics,pharmacy,ev bike,express,west,hot,51.6,23.45,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000003,no,delivered,4,378.35,2.0,3,0,0,0,0
250.99,xpressbees,electronics,ev van,same day,central,stormy,26.9,29.86,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000008,no,delivered,5,324.08,5.0,8,0,0,0,0
250.99,blue dart,clothing,truck,express,north,hot,216.7,26.89,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000006,yes,delayed,2,1214.17,7.0,6,0,1,1,1
250.99,dhl,electronics,van,standard,south,foggy,148.2,38.6,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000024,no,delivered,4,856.8,5.0,24,0,0,0,0
250.99,fedex,cosmetics,ev van,same day,south,clear,184.2,46.79,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000008,no,delivered,4,1161.37,5.0,8,0,0,0,0
250.99,fedex,groceries,truck,same day,east,stormy,167.7,42.4,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,no,delivered,5,1065.7,7.0,8,0,0,0,0
250.99,delhivery,electronics,ev bike,standard,central,cold,197.7,25.84,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000024,no,delivered,5,1066.02,9.0,24,0,0,0,0
250.99,fedex,cosmetics,ev van,standard,north,foggy,211.9,46.94,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000024,no,delivered,5,1200.32,7.0,24,0,0,0,0
250.99,blue dart,pharmacy,scooter,same day,west,stormy,64.3,21.05,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000008,no,delivered,5,484.65,6.0,8,0,0,0,0
250.99,xpressbees,cosmetics,scooter,two day,east,hot,206.7,3.87,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000016,no,delivered,4,1045.11,3.0,16,0,0,0,0
250.99,xpressbees,clothing,bike,two day,east,cold,83.5,6.81,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000016,no,delivered,5,437.93,3.0,16,0,0,0,0
250.99,ecom express,fragile items,truck,same day,central,foggy,9.3,47.62,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000008,no,delivered,5,289.36,3.0,8,0,0,0,0
250.99,xpressbees,clothing,ev bike,standard,west,rainy,245.9,47.01,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000024,no,delivered,3,1370.53,12.0,24,0,0,0,0
250.99,dhl,pharmacy,ev van,express,north,stormy,225.7,45.7,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000006,yes,delayed,2,1315.6,8.0,6,0,1,1,1
250.99,ecom express,pharmacy,bike,express,east,hot,226.0,37.62,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000006,yes,delayed,2,1292.86,7.0,6,0,1,1,1
250.99,dhl,clothing,bike,two day,west,hot,113.3,34.03,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000016,no,delivered,5,668.59,4.0,16,0,0,0,0
250.99,ekart,groceries,ev bike,standard,north,stormy,232.3,41.91,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000024,no,delivered,4,1287.23,12.0,24,0,0,0,0
250.99,ecom express,electronics,scooter,express,east,cold,87.7,22.38,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000003,yes,failed,2,555.64,4.0,3,0,0,1,1
250.99,dhl,furniture,van,same day,east,rainy,90.1,27.46,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000008,no,delivered,4,632.88,6.0,8,0,0,0,0
250.99,delhivery,cosmetics,bike,express,north,rainy,110.4,44.94,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000004,yes,delayed,2,736.82,6.0,4,0,1,1,1
250.99,fedex,documents,bike,same day,central,cold,217.3,3.03,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000008,no,delivered,5,1195.59,6.0,8,0,0,0,0
250.99,amazon logistics,furniture,truck,standard,south,rainy,75.2,28.25,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000024,no,delivered,3,460.75,6.0,24,0,0,0,0
250.99,blue dart,automobile parts,ev bike,two day,south,hot,23.2,19.18,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000016,no,delivered,5,173.54,2.0,16,0,0,0,0
250.99,fedex,documents,ev van,express,north,rainy,78.5,27.87,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000003,yes,delayed,3,526.11,8.0,3,0,1,1,1
250.99,blue dart,documents,van,express,north,hot,138.3,47.87,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000004,yes,delayed,3,885.11,8.0,4,0,1,1,1
250.99,xpressbees,clothing,truck,two day,north,cold,96.4,39.33,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000016,no,delivered,4,599.99,3.0,16,0,0,0,0
250.99,fedex,furniture,ev van,standard,west,cold,216.2,23.93,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000024,no,delivered,4,1152.79,11.0,24,0,0,0,0
250.99,ekart,clothing,van,express,south,stormy,24.1,34.1,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000002,yes,delayed,3,272.8,7.0,2,0,1,1,1
250.99,ekart,fragile items,scooter,standard,east,rainy,197.1,28.23,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000024,no,delivered,4,1070.19,13.0,24,0,0,0,0
250.99,shadowfax,documents,ev bike,same day,west,foggy,94.8,10.02,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000008,no,delivered,4,604.06,2.0,8,0,0,0,0
250.99,xpressbees,pharmacy,bike,express,south,hot,56.0,22.91,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000003,yes,delayed,2,398.73,3.0,3,0,1,1,0
250.99,ecom express,clothing,scooter,same day,east,stormy,70.7,5.72,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000008,yes,delayed,3,470.66,8.0,8,0,1,1,0
250.99,dhl,documents,bike,same day,east,rainy,60.4,22.93,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000008,no,delivered,5,470.79,6.0,8,0,0,0,0
250.99,blue dart,clothing,truck,same day,central,stormy,258.4,22.08,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000008,yes,failed,2,1458.24,9.0,8,0,0,1,1
250.99,amazon logistics,furniture,scooter,two day,central,cold,89.3,34.98,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000016,no,delivered,4,551.44,4.0,16,0,0,0,0
250.99,shadowfax,electronics,van,two day,south,clear,244.0,13.62,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000016,no,delivered,4,1260.86,7.0,16,0,0,0,0
250.99,xpressbees,electronics,truck,standard,south,stormy,87.8,19.77,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000024,no,delivered,4,498.31,8.0,24,0,0,0,0
250.99,delhivery,furniture,scooter,same day,east,stormy,3.6,20.7,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000008,no,delivered,4,172.6,3.0,8,0,0,0,0
250.99,ekart,furniture,van,two day,south,cold,3.6,8.75,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000016,no,delivered,3,95.6674,,16,1,0,0,0
250.99,xpressbees,documents,van,standard,east,rainy,111.0,36.68,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000024,no,delivered,4,665.04,9.0,24,0,0,0,0
250.99,amazon logistics,groceries,bike,express,east,rainy,256.4,33.53,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000007,yes,delayed,3,1432.59,11.0,7,0,1,1,1
250.99,dhl,groceries,ev van,same day,east,foggy,177.9,20.16,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,no,delivered,5,1049.98,7.0,8,0,0,0,0
250.99,amazon logistics,cosmetics,ev van,two day,east,rainy,204.2,8.09,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000016,no,delivered,4,1045.27,9.0,16,0,0,0,0
250.99,amazon logistics,furniture,ev bike,standard,central,cold,125.0,39.41,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000024,no,delivered,5,743.23,4.0,24,0,0,0,0
250.99,dhl,fragile items,bike,two day,north,hot,83.3,34.71,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000016,no,delivered,4,520.63,4.0,16,0,0,0,0
250.99,ecom express,clothing,van,standard,west,foggy,193.2,33.28,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000024,no,delivered,4,1065.84,7.0,24,0,0,0,0
250.99,ekart,clothing,van,two day,east,foggy,174.3,47.29,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000016,no,delivered,5,1013.37,10.0,16,0,0,0,0
250.99,ekart,groceries,bike,same day,west,clear,11.4,40.22,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000008,no,delivered,5,277.66,1.0,8,0,0,0,0
250.99,xpressbees,electronics,ev van,express,east,clear,166.4,44.96,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000005,yes,delayed,2,1016.88,6.0,5,0,1,1,1
250.99,shadowfax,cosmetics,van,standard,west,stormy,189.6,38.07,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000024,no,delivered,5,1062.21,11.0,24,0,0,0,0
250.99,blue dart,groceries,truck,express,west,stormy,111.2,37.33,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000004,yes,delayed,2,717.99,6.0,4,0,1,1,1
250.99,amazon logistics,groceries,ev bike,same day,west,hot,103.2,37.97,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000008,no,delivered,5,729.91,4.0,8,0,0,0,0
250.99,blue dart,furniture,scooter,standard,east,clear,236.4,47.28,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000024,no,delivered,4,1323.84,9.0,24,0,0,0,0
250.99,amazon logistics,electronics,van,same day,central,clear,111.9,26.34,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000008,no,delivered,5,738.52,5.0,8,0,0,0,0
250.99,delhivery,groceries,ev van,standard,south,stormy,86.6,20.64,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000024,no,delivered,5,494.92,8.0,24,0,0,0,0
250.99,amazon logistics,automobile parts,ev bike,standard,west,clear,235.6,48.07,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000024,no,delivered,5,1322.21,5.0,24,0,0,0,0
250.99,amazon logistics,pharmacy,truck,same day,south,cold,295.5,48.45,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000008,no,delivered,4,1632.7206,6.0,8,0,0,0,0
250.99,amazon logistics,pharmacy,truck,two day,west,foggy,56.3,43.65,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000016,no,delivered,5,412.45,5.0,16,0,0,0,0
250.99,shadowfax,furniture,bike,two day,central,stormy,114.2,28.82,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000016,no,delivered,5,657.46,6.0,16,0,0,0,0
250.99,fedex,furniture,scooter,same day,north,hot,3.6,31.41,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000008,no,delivered,4,203.23,2.0,8,0,0,0,0
250.99,xpressbees,automobile parts,bike,same day,west,stormy,146.2,22.55,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000008,yes,failed,2,898.65,9.0,8,0,0,1,1
250.99,ekart,automobile parts,ev bike,same day,east,clear,85.6,10.69,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000008,no,delivered,4,560.07,3.0,8,0,0,0,0
250.99,amazon logistics,groceries,ev van,express,south,rainy,247.9,5.23,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000006,yes,failed,2,1305.19,9.0,6,0,0,1,1
250.99,shadowfax,automobile parts,bike,standard,south,foggy,274.8,0.82,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000024,no,delivered,4,1376.46,9.0,24,0,0,0,0
250.99,fedex,electronics,scooter,standard,west,clear,35.7,10.8,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000024,no,delivered,3,210.9,3.0,24,0,0,0,0
250.99,fedex,documents,van,express,central,stormy,259.3,27.01,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000007,yes,failed,1,1427.53,8.0,7,0,0,1,1
250.99,shadowfax,documents,ev bike,same day,south,clear,65.3,45.09,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000008,no,delivered,5,561.77,4.0,8,0,0,0,0
250.99,delhivery,cosmetics,van,express,south,clear,93.1,20.89,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000003,no,delivered,3,578.17,2.0,3,0,0,0,0
250.99,blue dart,pharmacy,bike,standard,central,hot,265.8,32.11,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000024,no,delivered,5,1425.33,9.0,24,0,0,0,0
250.99,ekart,furniture,truck,two day,west,clear,110.2,23.24,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000016,no,delivered,4,620.72,4.0,16,0,0,0,0
250.99,blue dart,documents,bike,standard,west,clear,6.0,0.88,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000024,no,delivered,4,95.6674,1.0,24,0,0,0,0
250.99,dhl,furniture,truck,two day,east,foggy,16.5,21.49,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000016,no,delivered,4,146.97,2.0,16,0,0,0,0
250.99,xpressbees,documents,ev van,standard,north,cold,102.0,18.67,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000024,no,delivered,4,566.01,4.0,24,0,0,0,0
250.99,shadowfax,furniture,bike,express,north,rainy,265.4,15.96,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000007,yes,delayed,3,1424.88,13.0,7,0,1,1,1
250.99,fedex,groceries,ev van,two day,north,foggy,27.5,15.43,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000016,no,delivered,5,183.79,2.0,16,0,0,0,0
250.99,amazon logistics,fragile items,truck,two day,south,hot,59.5,7.79,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000016,no,delivered,3,320.87,2.0,16,0,0,0,0
250.99,shadowfax,cosmetics,bike,express,north,cold,290.2,29.26,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000007,no,delivered,4,1588.78,6.0,7,0,0,0,0
250.99,delhivery,clothing,scooter,standard,east,rainy,124.0,40.2,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000024,no,delivered,4,740.6,8.0,24,0,0,0,0
250.99,xpressbees,automobile parts,scooter,two day,north,clear,261.9,41.68,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000016,no,delivered,4,1434.54,9.0,16,0,0,0,0
250.99,shadowfax,pharmacy,ev van,two day,central,rainy,115.6,13.57,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000016,no,delivered,5,618.71,8.0,16,0,0,0,0
250.99,shadowfax,groceries,ev bike,express,east,hot,156.0,14.49,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000005,no,delivered,3,873.47,2.0,5,0,0,0,0
250.99,shadowfax,furniture,van,standard,north,foggy,284.1,14.35,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000024,no,delivered,4,1463.55,9.0,24,0,0,0,0
250.99,fedex,clothing,truck,same day,north,cold,287.0,8.21,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000008,yes,failed,1,1559.63,10.0,8,0,0,1,1
250.99,delhivery,electronics,van,two day,north,foggy,50.5,31.28,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000016,no,delivered,4,346.34,2.0,16,0,0,0,0
250.99,shadowfax,groceries,van,two day,west,foggy,203.3,7.5,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000016,no,delivered,4,1039.0,7.0,16,0,0,0,0
250.99,amazon logistics,fragile items,truck,same day,west,hot,127.8,20.03,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000008,no,delivered,3,799.09,2.0,8,0,0,0,0
250.99,ekart,groceries,scooter,two day,east,cold,45.8,27.22,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000016,no,delivered,5,310.66,1.0,16,0,0,0,0
250.99,shadowfax,groceries,ev bike,same day,west,hot,8.7,33.93,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000008,no,delivered,5,245.29,,8,1,0,0,0
250.99,delhivery,automobile parts,ev van,standard,north,rainy,152.8,48.37,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000024,no,delivered,4,909.11,6.0,24,0,0,0,0
250.99,dhl,automobile parts,ev van,same day,south,rainy,29.0,40.89,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000008,no,delivered,4,367.67,5.0,8,0,0,0,0
250.99,dhl,furniture,scooter,standard,north,clear,281.6,19.81,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000024,no,delivered,3,1467.43,8.0,24,0,0,0,0
250.99,ecom express,electronics,van,same day,east,stormy,75.7,41.47,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000008,yes,delayed,2,602.91,8.0,8,0,1,1,0
250.99,blue dart,cosmetics,scooter,standard,north,cold,132.5,14.18,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000024,no,delivered,4,705.04,3.0,24,0,0,0,0
250.99,ekart,cosmetics,truck,standard,west,rainy,218.2,34.0,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000024,no,delivered,5,1193.0,10.0,24,0,0,0,0
250.99,dhl,automobile parts,scooter,express,east,rainy,152.8,10.46,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000005,yes,delayed,2,845.38,8.0,5,0,1,1,1
250.99,ecom express,automobile parts,van,same day,west,cold,113.8,21.95,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000008,no,delivered,3,734.85,4.0,8,0,0,0,0
